HuMAP2_ID,Confidence,Uniprot_ACCs,genenames
HuMAP2_00051,4,Q8N7X4 P43355 O15480 Q8IWZ3 Q07617,MAGEB6 MAGEA1 MAGEB3 ANKHD1 SPAG1
HuMAP2_00052,4,Q92879 P52594 O95319,CELF1 AGFG1 CELF2
HuMAP2_00053,4,Q00169 Q5TFE4 Q01415 P09960 P07686 A6NDG6,PITPNA NT5DC1 GALK2 LTA4H HEXB PGP
HuMAP2_00054,3,Q9BXP5 Q92733,SRRT PRCC
HuMAP2_00055,2,P78344 P60842,EIF4G2 EIF4A1
HuMAP2_00056,3,Q9NPC8 Q99502,SIX2 EYA1
HuMAP2_00057,2,Q9Y608 Q9NYL9 O95425,LRRFIP2 TMOD3 SVIL
HuMAP2_00058,5,Q8N612 Q05DH4 Q9UJC3 Q86VS8 Q9H8T0 Q13506 O43310 Q15742,FHIP1B FHIP1A HOOK1 HOOK3 AKTIP NAB1 CTIF NAB2
HuMAP2_00059,5,Q86XI6 Q9UQK1 O95685,PPP1R3B PPP1R3C PPP1R3D
HuMAP2_00060,5,Q4G0X4 Q14183 Q14184,KCTD21 DOC2A DOC2B
HuMAP2_00061,5,Q8N7X8 Q9H892,SIGLECL1 TTC12
HuMAP2_00062,4,Q6P587 P23786 P36405,FAHD1 CPT2 ARL3
HuMAP2_00063,5,O14836 O15015 Q96JP5 Q96SL8,TNFRSF13B ZNF646 ZFP91 FIZ1
HuMAP2_00064,4,Q9BWH6 Q9H9Y4 Q9HCN4,RPAP1 GPN2 GPN1
HuMAP2_00065,4,O75534 Q9H7E2 Q9P2E3 Q9Y3F4,CSDE1 TDRD3 ZNFX1 STRAP
HuMAP2_00066,4,Q147X3 Q03181,NAA30 PPARD
HuMAP2_00067,5,Q8TDN1 Q92953 P09668 P01036 P01037,KCNG4 KCNB2 CTSH CST4 CST1
HuMAP2_00068,5,Q504Y0 Q9NTN9 Q9NZ53 Q15842 P29016,SLC39A12 SEMA4G PODXL2 KCNJ8 CD1B
HuMAP2_00069,4,Q9P2G3 Q53HC5 Q9UF56 Q9NXS3 Q9UJP4 Q9Y573,KLHL14 KLHL26 FBXL17 KLHL28 KLHL21 IPP
HuMAP2_00070,4,Q9GZS3 Q6P1J9 Q14241 Q8N7H5 Q6PD62 Q9HCK8 Q8WVC0,SKIC8 CDC73 ELOA PAF1 CTR9 CHD8 LEO1
HuMAP2_00071,4,Q969M3 O95070 Q5BJH7,YIPF5 YIF1A YIF1B
HuMAP2_00072,5,Q96ER9 Q9HCL0 Q8N6Y1 O95867 Q15517,CCDC51 PCDH18 PCDH20 LY6G6C CDSN
HuMAP2_00073,4,Q96NW4 Q92609 Q4G0F5 O75436 Q86XE0 Q96QK1 Q9Y5X3 Q9UNH7 Q13596 O60749,ANKRD27 TBC1D5 VPS26B VPS26A SNX32 VPS35 SNX5 SNX6 SNX1 SNX2
HuMAP2_00074,4,Q13017 Q93084 Q8N6M8,ARHGAP5 ATP2A3 IQCF1
HuMAP2_00075,1,Q9Y3C6 Q13573,PPIL1 SNW1
HuMAP2_00076,4,Q8NEF3 Q8N6V9 O94818,CCDC112 TEX9 NOL4
HuMAP2_00077,5,O15162 O43597 Q9BRK0 Q9H902,PLSCR1 SPRY2 REEP2 REEP1
HuMAP2_00078,3,Q86VX9 Q96DM3 Q3SY56,MON1A RMC1 SP6
HuMAP2_00079,4,Q9H8Y8 P62253 Q9H2G9 O75828,GORASP2 UBE2G1 BLZF1 CBR3
HuMAP2_00080,3,Q14153 Q9BS26 Q8IX07,FAM53B ERP44 ZFPM1
HuMAP2_00081,3,Q8N4P2 Q86WT1 Q9BW83 Q9Y366 A0AVF1 Q96LB3 Q9NQC8 Q8WYA0,IFT70B IFT70A IFT27 IFT52 IFT56 IFT74 IFT46 IFT81
HuMAP2_00082,3,Q53TN4 Q9Y232,CYBRD1 CDYL
HuMAP2_00083,4,A6NI79 Q13472 Q9H9A7 Q96E14,CCDC69 TOP3A RMI1 RMI2
HuMAP2_00084,1,P13861 P17612,PRKAR2A PRKACA
HuMAP2_00085,5,Q8WYA6 Q14584 Q53GI3,CTNNBL1 ZNF266 ZNF394
HuMAP2_00086,3,Q17R89 Q5T0N5,ARHGAP44 FNBP1L
HuMAP2_00087,2,Q8NEM2 Q00887,SHCBP1 PSG9
HuMAP2_00088,4,Q32MZ4 Q9H3H9 P28289 Q9NYL9 Q13045 O95425 Q9Y6U3,LRRFIP1 TCEAL2 TMOD1 TMOD3 FLII SVIL SCIN
HuMAP2_00089,5,Q16777 Q5THJ4 Q13162 Q14676 O94776,H2AC20 VPS13D PRDX4 MDC1 MTA2
HuMAP2_00090,4,Q8WUQ7 Q96RS6 Q9H5V9 Q86YS6 O95391 Q14562,CACTIN NUDCD1 STEEP1 RAB43 SLU7 DHX8
HuMAP2_00091,3,Q9NX14 O95139 P17568,NDUFB11 NDUFB6 NDUFB7
HuMAP2_00092,5,Q5VT25 Q9NWC5 Q8N5Z5 Q96GI7 P43003 O15530 Q8IY37 Q14681 Q9H5L6 Q9NXV2 Q9UBT6 Q00059,CDC42BPA TMEM45A KCTD17 FAM89A SLC1A3 PDPK1 DHX37 KCTD2 THAP9 KCTD5 POLK TFAM
HuMAP2_00093,4,Q9H6F2 P26439 P14060 P42898 P19086,TMEM38A HSD3B2 HSD3B1 MTHFR GNAZ
