HuMAP2_ID,Confidence,Uniprot_ACCs,genenames
HuMAP2_00935,4,Q7Z402 Q99828,TMC7 CIB1
HuMAP2_00936,3,Q9HAU0 Q9NU53 Q96PM5,PLEKHA5 GINM1 RCHY1
HuMAP2_00937,5,Q8IXS2 Q5T764 Q15751,CCDC65 IFIT1B HERC1
HuMAP2_00938,2,Q8IXQ6 Q8TDB6,PARP9 DTX3L
HuMAP2_00939,2,Q86YN1 P32249 P34741,DOLPP1 GPR183 SDC2
HuMAP2_00940,4,O14836 Q8WYQ3 Q8NAF0 O15015 Q5T8P6 Q6ZN30,TNFRSF13B CHCHD10 ZNF579 ZNF646 RBM26 BNC2
HuMAP2_00941,4,Q9GZM7 P98160 P51606,TINAGL1 HSPG2 RENBP
HuMAP2_00942,3,Q86YV9 Q969F9,HPS6 HPS3
HuMAP2_00943,5,Q9UFW8 Q8IWV7 Q6IN84,CGGBP1 UBR1 MRM1
HuMAP2_00944,5,Q96T83 Q92581 Q9BYC5,SLC9A7 SLC9A6 FUT8
HuMAP2_00945,2,P42766 P08708,RPL35 RPS17
HuMAP2_00946,5,Q7Z698 P42224 P52630 Q9UGM6 Q00978 Q86TI2,SPRED2 STAT1 STAT2 WARS2 IRF9 DPP9
HuMAP2_00947,2,Q00341 Q92900,HDLBP UPF1
HuMAP2_00948,4,O14979 Q4VXU2 Q9NUD5 Q9H0J9 Q9H000 Q9H074,HNRNPDL PABPC1L ZCCHC3 PARP12 MKRN2 PAIP1
HuMAP2_00949,2,P16278 P10619,GLB1 CTSA
HuMAP2_00950,4,Q5JSL3 Q0VDF9 Q8N6M0 Q8NET5 Q9ULC4 O43583,DOCK11 HSPA14 OTUD6B NFAM1 MCTS1 DENR
HuMAP2_00951,2,Q68D86 P17861,CCDC102B XBP1
HuMAP2_00952,5,Q6NXP2 Q9H4Z3 P61019 P61018 P61106 Q15366 Q8WUD1 P42126,GARIN1A PCIF1 RAB2A RAB4B RAB14 PCBP2 RAB2B ECI1
HuMAP2_00953,5,Q9UIV8 O14815 Q9NW68 Q96PL5 Q01973,SERPINB13 CAPN9 BSDC1 ERMAP ROR1
HuMAP2_00954,5,Q6UW02 Q92508,CYP20A1 PIEZO1
HuMAP2_00955,4,P09417 Q9Y2T3,QDPR GDA
HuMAP2_00956,2,O75106 Q16853,AOC2 AOC3
HuMAP2_00957,4,O15042 Q8IWX8,U2SURP CHERP
HuMAP2_00958,2,O43426 Q9Y5X1,SYNJ1 SNX9
HuMAP2_00959,5,Q92539 Q14693 Q9UBN7 Q9BQK8,LPIN2 LPIN1 HDAC6 LPIN3
HuMAP2_00960,4,P14625 Q86WA8 Q14697 Q13185 Q13438,HSP90B1 LONP2 GANAB CBX3 OS9
HuMAP2_00961,2,Q99666 P43487 A6NKT7 P63165 O14715 P18754,RGPD5;RGPD6 RANBP1 RGPD3 SUMO1 RGPD8 RCC1
HuMAP2_00962,2,P53675 O95630,CLTCL1 STAMBP
HuMAP2_00963,2,Q6IE81 O95251,JADE1 KAT7
HuMAP2_00964,5,Q8N0W4 Q8NFZ3 Q9NZ94 Q8NFZ4 Q86UT6 Q8N2Q7,NLGN4X NLGN4Y NLGN3 NLGN2 NLRX1 NLGN1
HuMAP2_00965,5,Q52LJ0 O15169 Q9Y224 Q7Z2Z2,FAM98B AXIN1 RTRAF EFL1
HuMAP2_00966,4,Q03519 Q03518,TAP2 TAP1
HuMAP2_00967,4,Q5VWQ8 P30622 O75677 Q9ULU8 O75679,DAB2IP CLIP1 RFPL1 CADPS RFPL3
HuMAP2_00968,2,O14867 O60675 Q9Y5Q3 O75330 O15525,BACH1 MAFK MAFB HMMR MAFG
HuMAP2_00969,4,Q13614 Q86WG5,MTMR2 SBF2
HuMAP2_00970,3,Q9NSV4 Q6RW13 Q6UWR7 Q8IUI8,DIAPH3 AGTRAP ENPP6 CRLF3
HuMAP2_00971,3,Q96JJ3 Q92556 Q8IZD9 Q8N1I0,ELMO2 ELMO1 DOCK3 DOCK4
HuMAP2_00972,5,Q68DK2 P35372,ZFYVE26 OPRM1
HuMAP2_00973,4,P48067 O00322 Q9UP38,SLC6A9 UPK1A FZD1
HuMAP2_00974,3,Q8N3F8 Q96B97 Q9ULH1 Q8IZC4 Q14676,MICALL1 SH3KBP1 ASAP1 RTKN2 MDC1
HuMAP2_00975,5,Q13772 P02792,NCOA4 FTL
HuMAP2_00976,5,Q9HCJ0 Q9HD45 O14980 Q9UKV8 Q9UL18,TNRC6C TM9SF3 XPO1 AGO2 AGO1
HuMAP2_00977,2,Q08211 Q7KZF4,DHX9 SND1
HuMAP2_00978,4,Q96JN8 O95714 Q9UJU6 Q6ZV73,NEURL4 HERC2 DBNL FGD6
HuMAP2_00979,2,Q9Y2M5 O75015,KLHL20 FCGR3B
HuMAP2_00980,4,Q9Y4K3 O43187,TRAF6 IRAK2
HuMAP2_00981,5,Q96F05 Q2TAA8 Q7Z3E2 Q9HCJ6 Q8WXW3,C11orf24 TSNAXIP1 CCDC186 VAT1L PIBF1
HuMAP2_00982,1,P36957 Q02218,DLST OGDH
HuMAP2_00983,2,Q9NQC1 Q8WYH8 Q9UNL4,JADE2 ING5 ING4
HuMAP2_00984,3,P30533 Q14114,LRPAP1 LRP8
HuMAP2_00985,4,Q96A37 Q5U5R9 Q9NR21,RNF166 HECTD2 PARP11
HuMAP2_00986,5,Q9Y2I9 Q52MB2 Q86XA9 P0DPB3 Q9NYK6 Q9UIL1 Q9UHY8 Q96IZ0,TBC1D30 CCDC184 HEATR5A SCHIP1 EURL SCOC FEZ2 PAWR
HuMAP2_00987,4,Q9H4H8 Q9Y6H3 O14867 O60675 Q9Y5Q3 O75330,FAM83D ATP23 BACH1 MAFK MAFB HMMR
HuMAP2_00988,3,P62424 Q9BYG3 P19338,RPL7A NIFK NCL
HuMAP2_00989,4,Q9BV29 Q13510 Q6PD74 Q96PC3,CCDC32 ASAH1 AAGAB AP1S3
HuMAP2_00990,4,P22102 Q9Y2L1,GART DIS3
HuMAP2_00991,5,A6NI28 Q9ULK0 Q68CZ2 Q9H4E7,ARHGAP42 GRID1 TNS3 DEF6
HuMAP2_00992,2,P04066 Q7KZI7,FUCA1 MARK2
HuMAP2_00993,4,O95661 P55209,DIRAS3 NAP1L1
HuMAP2_00994,1,Q13868 Q9NPD3,EXOSC2 EXOSC4
HuMAP2_00995,5,O14908 P22033 Q96GX9 Q16719 O75390,GIPC1 MMUT APIP KYNU CS
HuMAP2_00996,5,Q6UWU4 P46098 Q8IZY2 Q04671,C6orf89 HTR3A ABCA7 OCA2
HuMAP2_00997,4,Q86VY9 Q9NYM9,TMEM200A BET1L
HuMAP2_00998,3,Q96D71 Q2M2I8,REPS1 AAK1
HuMAP2_00999,5,Q9UH17 O60812 Q9Y6M1 Q96E39 Q12926 Q14576 Q15717 Q15434 Q92804 Q8IX01 O95985 P10155 Q8TB72 P78332 Q92904,APOBEC3B HNRNPCL1 IGF2BP2 RBMXL1 ELAVL2 ELAVL3 ELAVL1 RBMS2 TAF15 SUGP2 TOP3B RO60 PUM2 RBM6 DAZL
HuMAP2_01000,4,Q8NEG5 Q16363 P50895 P43121,ZSWIM2 LAMA4 BCAM MCAM
HuMAP2_01001,2,Q96DX5 P12277,ASB9 CKB
HuMAP2_01002,5,Q9Y227 Q9UHG3 P53004 Q5VZM2,ENTPD4 PCYOX1 BLVRA RRAGB
HuMAP2_01003,4,Q99640 P46527 P24864 P61024 O95067 P14635 P20248 O75496 Q9H211 Q13309 P06493 P33552 Q08999 P28749 P24941,PKMYT1 CDKN1B CCNE1 CKS1B CCNB2 CCNB1 CCNA2 GMNN CDT1 SKP2 CDK1 CKS2 RBL2 RBL1 CDK2
HuMAP2_01005,2,Q9NVZ3 Q96CW1 O94973 Q2M2I8,NECAP2 AP2M1 AP2A2 AAK1
HuMAP2_01006,5,Q8NB25 Q86W54 Q504U0 Q86X02 Q16623 Q01850,FAM184A SPATA24 C4orf46 CDR2L STX1A CDR2
HuMAP2_01007,4,Q96SK2 Q5SRE5 Q92621 P57740 Q8N1F7,TMEM209 NUP188 NUP205 NUP107 NUP93
HuMAP2_01008,2,P0CG29 Q5T1C6,GSTT2 THEM4
HuMAP2_01009,2,P62987 P07288,UBA52 KLK3
HuMAP2_01010,2,P61024 O95067 P14635 P06493 P33552,CKS1B CCNB2 CCNB1 CDK1 CKS2
HuMAP2_01011,5,Q8WVK2 Q96LW7 Q9NTZ6 P46063 Q9BTD8 O75914,SNRNP27 CARD19 RBM12 RECQL RBM42 PAK3
HuMAP2_01012,3,A1L190 Q02224 Q8N4C6,SYCE3 CENPE NIN
HuMAP2_01013,4,Q5KU26 Q6AZY7 O43405,COLEC12 SCARA3 COCH
HuMAP2_01014,4,Q9BX84 Q8IZQ1 Q6ZN54,TRPM6 WDFY3 DEF8
HuMAP2_01015,5,Q8NC96 Q9NVZ3 P52943 Q9NRX4 O60547 Q86V21,NECAP1 NECAP2 CRIP2 PHPT1 GMDS AACS
HuMAP2_01016,2,Q96LW7 Q9UPV9 O60296,CARD19 TRAK1 TRAK2
HuMAP2_01017,5,P68431 Q9Y6J0 Q9Y2V0 Q96HA7 Q9Y294 Q9NVP2 Q8IWY9 Q58A45 P47902 Q504Q3 Q8TEX9 P54198 Q6ZU65 Q9NPG3,H3C1;H3C2;H3C3;H3C4;H3C6;H3C7;H3C8;H3C10;H3C11;H3C12 CABIN1 CDIN1 TONSL ASF1A ASF1B CDAN1 PAN3 CDX1 PAN2 IPO4 HIRA UBN2 UBN1
HuMAP2_01018,5,Q9Y487 P61421 Q8N8Y2 Q93050 Q8N511 O43504 O75787 P27449 Q96NT0 Q96QD8 Q15904 Q6IAA8 Q13488 Q6UX71 Q92543 Q8WV92 P51797 Q3ZAQ7 P48357,ATP6V0A2 ATP6V0D1 ATP6V0D2 ATP6V0A1 TMEM199 LAMTOR5 ATP6AP2 ATP6V0C CCDC115 SLC38A2 ATP6AP1 LAMTOR1 TCIRG1 PLXDC2 SNX19 MITD1 CLCN6 VMA21 LEPR
HuMAP2_01019,5,Q3SY77 Q9P021 P24752 P26358,UGT3A2 CRIPT ACAT1 DNMT1
HuMAP2_01020,5,Q8TDQ7 Q9Y303 P46926 Q9NTM9,GNPDA2 AMDHD2 GNPDA1 CUTC
HuMAP2_01021,2,O43809 Q16630 Q8N684,NUDT21 CPSF6 CPSF7
HuMAP2_01022,2,O15482 O75069 O94876 Q9ULS5,TEX28;TEX28P1;TEX28P2 TMCC2 TMCC1 TMCC3
HuMAP2_01023,2,Q9GZY0 SPECIAL_unaccounted_gene,NXF2;NXF2B NXF2
HuMAP2_01024,5,Q96FJ2 O43805 Q86VQ0,DYNLL2 SSNA1 LCA5
HuMAP2_01025,4,Q4VC44 Q86V97 Q8WVZ9 Q8TEW6 Q9UI43 Q96QE5,FLYWCH1 KBTBD6 KBTBD7 DOK4 MRM2 TEFM
HuMAP2_01026,2,Q9BXJ5 Q7Z7E8 Q96KS0,C1QTNF2 UBE2Q1 EGLN2
HuMAP2_01027,1,Q9UJX5 Q9H1A4 P30260 Q9UJX2 Q13042,ANAPC4 ANAPC1 CDC27 CDC23 CDC16
HuMAP2_01028,2,Q8IUZ0 Q9H6J7 Q6ZTW0,LRRC49 CSTPP1 TPGS1
HuMAP2_01029,5,Q8N6G6 Q6Y288 P35442 P27918,ADAMTSL1 B3GLCT THBS2 CFP
HuMAP2_01030,4,Q14444 Q53EL6,CAPRIN1 PDCD4
HuMAP2_01031,4,P18509 Q9Y5J6 Q96DH6 Q53H12,ADCYAP1 TIMM10B MSI2 AGK
HuMAP2_01032,4,Q01813 P17858,PFKP PFKL
HuMAP2_01033,5,Q96CW6 Q9UHR6 Q9Y5U2 Q9Y312 Q9UBB6 Q56P03 Q8N2G8 O95905,SLC7A6OS ZNHIT2 TSSC4 AAR2 NCDN EAPP GHDC ECD
HuMAP2_01034,3,Q92871 O15305,PMM1 PMM2
HuMAP2_01035,5,O75676 Q86XK2 Q8N228 Q9H1R3 Q8IWV7,RPS6KA4 FBXO11 SCML4 MYLK2 UBR1
HuMAP2_01036,5,Q8TAE8 Q9UBX3 Q9NVS2 P49406 Q9BQC6 Q9BYC9 Q9P0M9 Q96GC5 Q4U2R6 Q13084 Q9BQ48 Q9NRX2 Q96DV4 Q9H9J2 Q16540 Q9NX20 Q8N5N7 Q9Y6G3 Q7Z7F7 Q9Y3B7 P52815 Q9NWU5 Q9HD33 Q9NYK5 Q8TCC3 O75394 Q7Z7H8 Q8IXM3 Q9H0U6 Q9BYC8 Q7Z2W9 Q96A35 Q9P015 Q9BZE1 Q9BYD1 Q6P1L8 Q8N983 Q86TS9 Q13405 Q96EL3 Q9NZE8 Q96EH3 Q9NQ50 Q9NP92 Q14197 Q9H2W6 Q6P161 Q5T653 Q9BYD6 Q9BYD2 Q9BYD3 P09001 Q9BRJ2,GADD45GIP1 SLC25A10 MRPS18A MRPL19 MRPL57 MRPL20 MRPL27 MRPL48 MRPL51 MRPL28 MRPL34 MRPL17 MRPL38 MRPL44 MRPL23 MRPL16 MRPL50 MRPL42 MRPL55 MRPL11 MRPL12 MRPL22 MRPL47 MRPL39 MRPL30 MRPL33 MRPL10 MRPL41 MRPL18 MRPL32 MRPL21 MRPL24 MRPL15 MRPL37 MRPL13 MRPL14 MRPL43 MRPL52 MRPL49 MRPL53 MRPL35 MALSU1 MRPL40 MRPS30 MRPL58 MRPL46 MRPL54 MRPL2 MRPL1 MRPL9 MRPL4 MRPL3 MRPL45
HuMAP2_01037,5,Q9NYY8 Q96E29 O75127 Q9Y2Z4 O95900 Q9NPE2 Q96GX9,FASTKD2 MTERF3 PTCD1 YARS2 TRUB2 NGRN APIP
HuMAP2_01038,4,Q9H0E2 Q8NBS9 Q96C55 Q8IV63 Q02446,TOLLIP TXNDC5 ZNF524 VRK3 SP4
HuMAP2_01039,4,Q9BU19 P52630,ZNF692 STAT2
HuMAP2_01040,4,O75140 Q12980 O15062 Q8WTW4 Q1RMZ1 Q5T011,DEPDC5 NPRL3 ZBTB5 NPRL2 BMT2 SZT2
HuMAP2_01041,2,P43363 Q8WUB2 Q15596 Q92830 Q9P0K8,MAGEA10 FAM216A NCOA2 KAT2A FOXJ2
HuMAP2_01042,4,Q9NSE4 Q06203,IARS2 PPAT
HuMAP2_01043,5,P56945 Q14511 O75815 P02655 P01350,BCAR1 NEDD9 BCAR3 APOC2 GAST
HuMAP2_01044,4,Q9NR45 Q08257 Q86W56 Q7Z4W1,NANS CRYZ PARG DCXR
HuMAP2_01045,3,O95630 Q9Y3E7,STAMBP CHMP3
HuMAP2_01046,2,Q9H078 O00165,CLPB HAX1
HuMAP2_01047,2,O00194 Q9HCH5 Q8TDW5 Q8IYJ3 Q96C24,RAB27B SYTL2 SYTL5 SYTL1 SYTL4
HuMAP2_01048,5,P02538 Q04695 P13647,KRT6A KRT17 KRT5
HuMAP2_01049,3,Q9H9Q2 Q9UBW8 Q9BT78 Q99627 Q7L5N1 Q92905 Q9UNS2 P61201 Q13098 Q96L50,COPS7B COPS7A COPS4 COPS8 COPS6 COPS5 COPS3 COPS2 GPS1 LRR1
HuMAP2_01050,3,Q2NKJ3 Q86WV5 Q9H668,CTC1 TEN1 STN1
HuMAP2_01051,2,Q86TB9 Q9Y4Y9,PATL1 LSM5
HuMAP2_01052,5,A0AV96 Q8TBY0 Q9H6T0 P29558 Q9NQ94,RBM47 RBM46 ESRP2 RBMS1 A1CF
HuMAP2_01053,1,Q8NHQ8 Q8TEW0,RASSF8 PARD3
HuMAP2_01054,3,P53992 P26440,SEC24C IVD
HuMAP2_01055,3,Q86VU5 Q9BQ15 Q9NRY2,COMTD1 NABP2 INIP
HuMAP2_01056,4,P62341 Q96N19 Q96BS2 Q9H8X2,SELENOT GPR137 TESC IPPK
HuMAP2_01057,3,Q9BZE4 Q9Y2X3 Q8WTT2 Q9NVP1 Q9UKD2 Q9Y3B9 Q9GZR7 O00567 O60832 O00541 P46087,GTPBP4 NOP58 NOC3L DDX18 MRTO4 RRP15 DDX24 NOP56 DKC1 PES1 NOP2
HuMAP2_01058,2,Q8TDB8 P11169,SLC2A14 SLC2A3
HuMAP2_01059,3,Q9UKJ3 Q9UKV3 Q9UQ35 Q15287,GPATCH8 ACIN1 SRRM2 RNPS1
HuMAP2_01060,4,Q8WWL2 Q08AE8 Q969V6 P0CG39 Q4VC05,SPIRE2 SPIRE1 MRTFA POTEJ BCL7A
HuMAP2_01061,5,Q6NXT6 Q99623 P35232 Q7Z5B4,TAPT1 PHB2 PHB1 RIC3
HuMAP2_01062,4,Q16560 O75064 Q6IEG0 Q8N8D1 Q9UDW3 Q96LT9 Q15696 Q6PID6 Q15695,SNRNP35 DENND4B SNRNP48 PDCD7 ZMAT5 RNPC3 ZRSR2 TTC33 ZRSR2P1
HuMAP2_01063,4,P35227 Q9HC52 Q8IXK0 O00257 P78364 O95931 Q8NDX5,PCGF2 CBX8 PHC2 CBX4 PHC1 CBX7 PHC3
HuMAP2_01064,2,Q92930 P61006,RAB8B RAB8A
HuMAP2_01065,2,P61421 P21281 P38606 Q9Y5K8,ATP6V0D1 ATP6V1B2 ATP6V1A ATP6V1D
HuMAP2_01066,4,Q9UMQ6 Q09161 P52298 P42285 Q9Y266 O95801,CAPN11 NCBP1 NCBP2 MTREX NUDC TTC4
HuMAP2_01067,4,Q92696 Q13636 P51151 P26374 P24386,RABGGTA RAB31 RAB9A CHML CHM
HuMAP2_01068,5,O43174 Q8WZ79 Q9BQ31 Q92953 Q9UBS9 Q8NE79,CYP26A1 DNASE2B KCNS3 KCNB2 SUCO BVES
HuMAP2_01069,4,Q86UG4 Q9H6L5 Q86VI4,SLCO6A1 RETREG1 LAPTM4B
HuMAP2_01070,5,Q15042 P36507 Q02750 P01116 P10398 P15056 P04049 Q8IVT5 Q8TBR5,RAB3GAP1 MAP2K2 MAP2K1 KRAS ARAF BRAF RAF1 KSR1 CIRBP-AS1
HuMAP2_01071,4,Q9NWB6 Q9Y3T9 Q8TDD1 Q9Y4C8 Q9BYG3,ARGLU1 NOC2L DDX54 RBM19 NIFK
HuMAP2_01072,4,P30038 Q9UJ68 Q16798,ALDH4A1 MSRA ME3
HuMAP2_01073,5,Q8NB15 Q96DC7 Q9Y253 Q9Y4Y9,ZNF511 TMCO6 POLH LSM5
HuMAP2_01074,5,P59045 Q16706 Q9NRC6 P29218 Q9H4Y5 Q9UBR2,NLRP11 MAN2A1 SPTBN5 IMPA1 GSTO2 CTSZ
HuMAP2_01075,2,P25686 Q8NHS0,DNAJB2 DNAJB8
HuMAP2_01076,2,O75150 Q9BTA9,RNF40 WAC
HuMAP2_01077,2,A7E2Y1 P13535 P09493 P06753 P12882,MYH7B MYH8 TPM1 TPM3 MYH1
HuMAP2_01078,4,P81408 Q5T1M5 Q9NZC7,ENTREP3 FKBP15 WWOX
HuMAP2_01079,5,Q96B01 O60346 Q8TBZ3 P62068 Q8TAF3 P58304 O94782 Q09019,RAD51AP1 PHLPP1 WDR20 USP46 WDR48 VSX2 USP1 DMWD
HuMAP2_01080,4,Q8IW50 Q9H583 P49959 Q92878 O60934,FAM219A HEATR1 MRE11 RAD50 NBN
HuMAP2_01081,4,Q9H825 P13611 P16070,METTL8 VCAN CD44
HuMAP2_01082,4,Q8WYA6 Q9NQX6 Q9H3C7,CTNNBL1 ZNF331 GGNBP2
HuMAP2_01083,2,O95478 Q13823,NSA2 GNL2
HuMAP2_01084,5,Q96CU9 Q8WWV3 Q96GJ1 Q8NI37,FOXRED1 RTN4IP1 TRMT2B PPTC7
HuMAP2_01085,5,Q9H254 Q9NSB8 Q86YM7 Q9NSC5 P58335 Q9NWB7 Q8NDI1 O00463 Q96R06,SPTBN4 HOMER2 HOMER1 HOMER3 ANTXR2 IFT57 EHBP1 TRAF5 SPAG5
HuMAP2_01086,5,P15531 P00918,NME1 CA2
HuMAP2_01087,5,Q9UPQ7 Q2T9J0 Q8NE31 O75319 Q96HN2 O43865 Q99697 P17509 Q8TAC2 O95409,PDZRN3 TYSND1 FAM13C DUSP11 AHCYL2 AHCYL1 PITX2 HOXB6 JOSD2 ZIC2
HuMAP2_01088,5,Q9UKJ3 Q86VM9 Q6ZUT1 Q6PJT7 Q9NS56 Q8TAD8 Q9Y3X0 Q9HCG8 Q15287 Q9UKV3 Q8N3X1 Q7Z6E9 O00422 P30414 P17480 Q9H307,GPATCH8 ZC3H18 NKAPD1 ZC3H14 TOPORS SNIP1 CCDC9 CWC22 RNPS1 ACIN1 FNBP4 RBBP6 SAP18 NKTR UBTF PNN
HuMAP2_01089,5,Q13163 Q99759 Q9Y2U5 Q13164 Q86W28,MAP2K5 MAP3K3 MAP3K2 MAPK7 NLRP8
HuMAP2_01090,5,Q8IZ13 Q8TCN5 Q8IUI8,FAM200C ZNF507 CRLF3
HuMAP2_01091,4,Q68D51 Q8IV36 Q9BWV1,DENND2C HID1 BOC
HuMAP2_01092,5,P61619 Q9NZJ5 P61165 P39656 Q8N5M9 Q9UGP8 P46977 P04844 Q14165 Q06136,SEC61A1 EIF2AK3 TMEM258 DDOST JAGN1 SEC63 STT3A RPN2 MLEC KDSR
HuMAP2_01093,2,P68106 Q04771,FKBP1B ACVR1
HuMAP2_01094,4,Q96A70 O14977 P55317 O95190 P54368,AZIN2 AZIN1 FOXA1 OAZ2 OAZ1
HuMAP2_01095,4,P51159 Q9Y2J0 Q14184,RAB27A RPH3A DOC2B
HuMAP2_01096,5,A6NNL5 Q9Y5I4,C15orf61 PCDHAC2
HuMAP2_01097,4,P63241 Q9BU89,EIF5A DOHH
HuMAP2_01098,2,Q9H1M0 Q9BVL2 Q7Z3B4,NUP62CL NUP58 NUP54
HuMAP2_01099,3,Q9Y5A6 Q9Y2L8 Q9UNY5 Q6R2W3 O75962,ZSCAN21 ZKSCAN5 ZNF232 SCAND3 TRIO
HuMAP2_01100,3,Q5TBB1 O75792 Q8TDP1,RNASEH2B RNASEH2A RNASEH2C
HuMAP2_01101,2,Q9UMS4 Q9Y448 O43660 Q9HCK1,PRPF19 KNSTRN PLRG1 ZDBF2
HuMAP2_01102,5,Q68EM7 Q8N3F8 Q96B97 Q9Y3L3 Q9ULH1 Q8TDY4 O43150 O15056 Q9ULZ2 Q8IZC4,ARHGAP17 MICALL1 SH3KBP1 SH3BP1 ASAP1 ASAP3 ASAP2 SYNJ2 STAP1 RTKN2
HuMAP2_01103,3,Q8N3F8 Q96B97 Q9Y3L3 Q8IZC4 Q14676,MICALL1 SH3KBP1 SH3BP1 RTKN2 MDC1
HuMAP2_01104,3,Q9UFN0 Q9NUJ1 Q9P0J7 Q5T4S7,NIPSNAP3A ABHD10 KCMF1 UBR4
HuMAP2_01105,5,Q5TA45 Q96HW7 Q9UL03 Q9NV88 Q6P9B9 Q9NVH2 Q13315 SPECIAL_HGNC22351,INTS11 INTS4 INTS6 INTS9 INTS5 INTS7 ATM INTS4P2
HuMAP2_01106,4,Q9NY97 P98173,B3GNT2 FAM3A
HuMAP2_01107,4,Q6PJ21 Q9UBX7,SPSB3 KLK11
HuMAP2_01108,5,Q9UI30 O43709,TRMT112 BUD23
HuMAP2_01109,3,B9ZVM9 Q4V328,SPECIALin_UniProt_but_no_gene GRIPAP1
HuMAP2_01110,4,Q9P1W3 Q6GTS8 P01160,TMEM63C PM20D1 NPPA
HuMAP2_01111,2,Q8WU90 Q15345 Q9Y295,ZC3H15 LRRC41 DRG1
HuMAP2_01112,2,A6NI28 Q9H4E7,ARHGAP42 DEF6
HuMAP2_01113,4,Q9BV44 Q86XE3 Q9Y606,THUMPD3 MICU3 PUS1
HuMAP2_01114,1,Q96CW1 Q2M2I8,AP2M1 AAK1
HuMAP2_01115,5,Q2NKJ3 Q86WV5 Q9UBD5 Q9H668,CTC1 TEN1 ORC3 STN1
HuMAP2_01116,5,Q16644 O75582 O75676 Q15759 Q16539 Q96CC6 Q5VYV7 P31260 Q9BY84 P31269 Q9BUB5 O75147 Q32MK0 Q9HBH9 Q9H1R3 P17482 Q15256 O43930,MAPKAPK3 RPS6KA5 RPS6KA4 MAPK11 MAPK14 RHBDF1 SLX4IP HOXA10 DUSP16 HOXA9 MKNK1 OBSL1 MYLK3 MKNK2 MYLK2 HOXB9 PTPRR PRKY
HuMAP2_01117,2,Q9NRW7 O14662 Q9H1K0,VPS45 STX16 RBSN
HuMAP2_01118,5,Q13936 Q8N7R7 Q07002 Q8NA56 Q00536 Q9UPZ9 Q00537,CACNA1C CCNYL1 CDK18 TTC29 CDK16 CILK1 CDK17
HuMAP2_01119,4,Q99543 Q0VDF9 Q9BY44 O60869,DNAJC2 HSPA14 EIF2A EDF1
HuMAP2_01120,5,P01008 Q99941 P43251 Q9BXT5,SERPINC1 ATF6B BTD TEX15
HuMAP2_01121,5,O75676 Q86XK2 Q8N228 Q9H1R3,RPS6KA4 FBXO11 SCML4 MYLK2
HuMAP2_01122,5,Q9NZL4 Q3B7T1 P49902 Q9H6K1 P42684,HSPBP1 EDRF1 NT5C2 ILRUN ABL2
HuMAP2_01123,4,Q8TD55 O95382 Q8NFF5 Q9Y6A5 Q96QS3,PLEKHO2 MAP3K6 FLAD1 TACC3 ARX
HuMAP2_01124,5,Q9H6S0 Q7Z398 A2RUB1,YTHDC2 ZNF550 MEIOC
HuMAP2_01125,2,P28715 P51948 P51946 P50613,ERCC5 MNAT1 CCNH CDK7
HuMAP2_01126,5,Q8TF09 Q9Y680 P06733 P13929 O15498 P35270,DYNLRB2 FKBP7 ENO1 ENO3 YKT6 SPR
HuMAP2_01127,5,Q99956 Q16829 P55899 P01130 O43556 Q2VWP7,DUSP9 DUSP7 FCGRT LDLR SGCE PRTG
HuMAP2_01128,2,Q9UNA1 A1A4S6 O60890,ARHGAP26 ARHGAP10 OPHN1
HuMAP2_01129,2,P19440 P36268,GGT1 GGT2
HuMAP2_01130,2,P11940 P11142 P38646,PABPC1 HSPA8 HSPA9
HuMAP2_01131,3,P42772 P42773 Q5TC84 Q8N726 P11802,CDKN2B CDKN2C OGFRL1 CDKN2A CDK4
HuMAP2_01132,4,O95718 P11474,ESRRB ESRRA
HuMAP2_01133,3,O60711 Q05397,LPXN PTK2
HuMAP2_01134,2,P85298 Q8WXA8 B1AHC3,ARHGAP8 HTR3C PRR5-ARHGAP8
HuMAP2_01135,1,P54274 Q9BSI4,TERF1 TINF2
HuMAP2_01136,5,Q96F85 Q9H8H0 Q15061 Q8TED0 Q8IWA0 Q9UMY1 Q969X6,CNRIP1 NOL11 WDR43 UTP15 WDR75 NOL7 UTP4
HuMAP2_01137,5,Q9HAU0 Q6ZMJ2 Q9Y278 P26012 Q9NU53 O60507 P08476 Q96S06 Q8IXM6 P48645,PLEKHA5 SCARA5 HS3ST2 ITGB8 GINM1 TPST1 INHBA LMF1 NRM NMU
HuMAP2_01138,4,Q8IWV7 O95260 Q6IN84,UBR1 ATE1 MRM1
HuMAP2_01139,2,Q9Y3I0 Q92499,RTCB DDX1
HuMAP2_01140,1,P15259 Q8N0Y7,PGAM2 PGAM4
HuMAP2_01141,4,Q9H5I1 Q96N21 Q9Y587 Q9Y6B7 Q9UPM8 O00189,SUV39H2 TEPSIN AP4S1 AP4B1 AP4E1 AP4M1
HuMAP2_01142,3,Q9NUC0 Q66LE6 P63151 Q96E09 Q99958,SERTAD4 PPP2R2D PPP2R2A PABIR1 FOXC2
HuMAP2_01143,4,Q15742 Q13506,NAB2 NAB1
HuMAP2_01144,2,Q96S44 Q14657 Q9Y3C4 Q9NPF4 Q9BXV9,TP53RK LAGE3 TPRKB OSGEP GON7
HuMAP2_01145,4,P49407 P55201 P10523,ARRB1 BRPF1 SAG
